Year,Days_over_25,Calculation
1950,25.235294117647058,"Calculate days over 25, then average across stations"
1951,2.3529411764705883,"Calculate days over 25, then average across stations"
1952,11.882352941176471,"Calculate days over 25, then average across stations"
1953,15.705882352941176,"Calculate days over 25, then average across stations"
1954,15.411764705882353,"Calculate days over 25, then average across stations"
1955,10.529411764705882,"Calculate days over 25, then average across stations"
1956,9.588235294117647,"Calculate days over 25, then average across stations"
1957,1.7647058823529411,"Calculate days over 25, then average across stations"
1958,16.41176470588235,"Calculate days over 25, then average across stations"
1959,9.352941176470589,"Calculate days over 25, then average across stations"
1960,11.411764705882353,"Calculate days over 25, then average across stations"
1961,12.470588235294118,"Calculate days over 25, then average across stations"
1962,10.176470588235293,"Calculate days over 25, then average across stations"
1963,5.470588235294118,"Calculate days over 25, then average across stations"
1964,13.176470588235293,"Calculate days over 25, then average across stations"
1965,6.0588235294117645,"Calculate days over 25, then average across stations"
1966,4.882352941176471,"Calculate days over 25, then average across stations"
1967,4.882352941176471,"Calculate days over 25, then average across stations"
1968,10.294117647058824,"Calculate days over 25, then average across stations"
1969,2.235294117647059,"Calculate days over 25, then average across stations"
1970,6.823529411764706,"Calculate days over 25, then average across stations"
1971,11.235294117647058,"Calculate days over 25, then average across stations"
1972,8.411764705882353,"Calculate days over 25, then average across stations"
1973,11.470588235294118,"Calculate days over 25, then average across stations"
1974,4.647058823529412,"Calculate days over 25, then average across stations"
1975,8.882352941176471,"Calculate days over 25, then average across stations"
1976,7.764705882352941,"Calculate days over 25, then average across stations"
1977,11.235294117647058,"Calculate days over 25, then average across stations"
1978,14.647058823529411,"Calculate days over 25, then average across stations"
1979,12.764705882352942,"Calculate days over 25, then average across stations"
1980,11.117647058823529,"Calculate days over 25, then average across stations"
1981,21.823529411764707,"Calculate days over 25, then average across stations"
1982,9.058823529411764,"Calculate days over 25, then average across stations"
1983,6.352941176470588,"Calculate days over 25, then average across stations"
1984,18,"Calculate days over 25, then average across stations"
1985,11.294117647058824,"Calculate days over 25, then average across stations"
1986,12,"Calculate days over 25, then average across stations"
1987,20.41176470588235,"Calculate days over 25, then average across stations"
1988,15.235294117647058,"Calculate days over 25, then average across stations"
1989,11.823529411764707,"Calculate days over 25, then average across stations"
1990,10.411764705882353,"Calculate days over 25, then average across stations"
1991,7.764705882352941,"Calculate days over 25, then average across stations"
1992,16.823529411764707,"Calculate days over 25, then average across stations"
1993,3.0588235294117645,"Calculate days over 25, then average across stations"
1994,15,"Calculate days over 25, then average across stations"
1995,11.235294117647058,"Calculate days over 25, then average across stations"
1996,7.705882352941177,"Calculate days over 25, then average across stations"
1997,10.470588235294118,"Calculate days over 25, then average across stations"
1998,17.529411764705884,"Calculate days over 25, then average across stations"
1999,10.058823529411764,"Calculate days over 25, then average across stations"
2000,19.529411764705884,"Calculate days over 25, then average across stations"
2001,17.176470588235293,"Calculate days over 25, then average across stations"
2002,26.705882352941178,"Calculate days over 25, then average across stations"
2003,6.529411764705882,"Calculate days over 25, then average across stations"
2004,12.117647058823529,"Calculate days over 25, then average across stations"
2005,19.941176470588236,"Calculate days over 25, then average across stations"
2006,18.058823529411764,"Calculate days over 25, then average across stations"
2007,8.058823529411764,"Calculate days over 25, then average across stations"
2008,10.176470588235293,"Calculate days over 25, then average across stations"
2009,14.352941176470589,"Calculate days over 25, then average across stations"
2010,22.58823529411765,"Calculate days over 25, then average across stations"
2011,7.764705882352941,"Calculate days over 25, then average across stations"
2012,19.352941176470587,"Calculate days over 25, then average across stations"
2013,14.117647058823529,"Calculate days over 25, then average across stations"
2014,11.823529411764707,"Calculate days over 25, then average across stations"
2015,15.647058823529411,"Calculate days over 25, then average across stations"
2016,5.235294117647059,"Calculate days over 25, then average across stations"
2017,28,"Calculate days over 25, then average across stations"
2018,21.294117647058822,"Calculate days over 25, then average across stations"
2019,14.764705882352942,"Calculate days over 25, then average across stations"
2020,31.941176470588236,"Calculate days over 25, then average across stations"
2021,15.647058823529411,"Calculate days over 25, then average across stations"
2022,30.352941176470587,"Calculate days over 25, then average across stations"
2023,40.05882352941177,"Calculate days over 25, then average across stations"
2024,32.8235294117647,"Calculate days over 25, then average across stations"
2025,36,"Calculate days over 25, then average across stations"
2026,36.294117647058826,"Calculate days over 25, then average across stations"
2027,46.294117647058826,"Calculate days over 25, then average across stations"
2028,35.23529411764706,"Calculate days over 25, then average across stations"
2029,37.8235294117647,"Calculate days over 25, then average across stations"
2030,37.35294117647059,"Calculate days over 25, then average across stations"
2031,30.352941176470587,"Calculate days over 25, then average across stations"
2032,49.11764705882353,"Calculate days over 25, then average across stations"
2033,24.235294117647058,"Calculate days over 25, then average across stations"
2034,40.23529411764706,"Calculate days over 25, then average across stations"
2035,41.411764705882355,"Calculate days over 25, then average across stations"
2036,31,"Calculate days over 25, then average across stations"
2037,61,"Calculate days over 25, then average across stations"
2038,37.76470588235294,"Calculate days over 25, then average across stations"
2039,15.294117647058824,"Calculate days over 25, then average across stations"
2040,52.588235294117645,"Calculate days over 25, then average across stations"
2041,21.352941176470587,"Calculate days over 25, then average across stations"
2042,30.235294117647058,"Calculate days over 25, then average across stations"
2043,57.529411764705884,"Calculate days over 25, then average across stations"
2044,66.88235294117646,"Calculate days over 25, then average across stations"
2045,37.529411764705884,"Calculate days over 25, then average across stations"
2046,82.47058823529412,"Calculate days over 25, then average across stations"
2047,23.470588235294116,"Calculate days over 25, then average across stations"
2048,62,"Calculate days over 25, then average across stations"
2049,44.64705882352941,"Calculate days over 25, then average across stations"
2050,41.11764705882353,"Calculate days over 25, then average across stations"
2051,28.941176470588236,"Calculate days over 25, then average across stations"
2052,90.23529411764706,"Calculate days over 25, then average across stations"
2053,39.8235294117647,"Calculate days over 25, then average across stations"
2054,62.88235294117647,"Calculate days over 25, then average across stations"
2055,33.8235294117647,"Calculate days over 25, then average across stations"
2056,72.3529411764706,"Calculate days over 25, then average across stations"
2057,34.35294117647059,"Calculate days over 25, then average across stations"
2058,47.705882352941174,"Calculate days over 25, then average across stations"
2059,48.05882352941177,"Calculate days over 25, then average across stations"
2060,53.11764705882353,"Calculate days over 25, then average across stations"
2061,69.52941176470588,"Calculate days over 25, then average across stations"
2062,35,"Calculate days over 25, then average across stations"
2063,50.76470588235294,"Calculate days over 25, then average across stations"
2064,51.588235294117645,"Calculate days over 25, then average across stations"
2065,47.705882352941174,"Calculate days over 25, then average across stations"
2066,57.94117647058823,"Calculate days over 25, then average across stations"
2067,73.41176470588235,"Calculate days over 25, then average across stations"
2068,45.529411764705884,"Calculate days over 25, then average across stations"
2069,46.588235294117645,"Calculate days over 25, then average across stations"
2070,51.411764705882355,"Calculate days over 25, then average across stations"
2071,67.17647058823529,"Calculate days over 25, then average across stations"
